     2  45 -.564021E+00  0.193325E+01  -.146010E+01  0.634336E+03
     2  46 0.252731E+01  0.127583E-01  -.372200E+00  0.262361E+07
     2  47 -.944468E+00  0.111094E+01  0.100000E+01  0.754076E+03
     2  48 0.118052E+01  -.331397E+00  0.533632E+00  0.279659E+04
     2  49 0.922467E+00  -.514437E+00  -.417857E+00  0.416418E+03
     2  50 -.772982E-01  -.556953E+00  0.100000E+01  0.585375E+03
     3   1 -.404511E+00  0.204964E+00  -.155794E+01  0.608798E+03
     3   2 0.114298E+00  0.200000E+01  -.948330E+00  0.409077E+03
     3   3 0.737033E+00  -.176145E+01  -.921656E+00  0.697281E+02
     3   4 -.241341E+00  0.526349E+00  -.117391E+00  0.568914E+03
     3   5 -.737737E+00  0.146860E+01  0.662890E+00  0.647467E+03
     3   6 0.463693E+00  0.183910E+01  0.315023E+00  0.207629E+03
     3   7 0.100000E+01  -.353040E+00  -.175211E+00  0.796661E+03
     3   8 -.472659E+00  0.136822E+01  -.168081E+01  0.621047E+03
     3   9 -.100000E+01  0.648787E+00  0.967643E+00  0.757304E+03
     3  10 0.171246E+01  0.150828E+01  -.500000E+00  0.595118E+05
     3  11 0.107165E+01  0.767864E+00  -.145278E+01  0.271249E+04
     3  12 0.122385E+01  -.664569E+00  -.385125E+00  0.392931E+04
     3  13 0.153654E+01  -.457233E+00  -.196625E+00  0.228671E+05
     3  14 -.100000E+01  0.975997E+00  -.676537E+00  0.670689E+03
     3  15 0.176336E+01  0.142011E+00  -.917327E+00  0.796291E+05
     3  16 0.683286E+00  -.143930E+01  0.706385E+00  0.117858E+03
     3  17 0.173824E+01  -.611246E+00  -.401545E+00  0.701174E+05
     3  18 0.197836E+01  0.525203E+00  -.500000E+00  0.240936E+06
     3  19 0.100000E+01  0.123715E+00  -.492128E+00  0.839024E+03
     3  20 0.127507E+01  0.472473E+00  -.126196E-01  0.532093E+04
     3  21 0.901277E+00  0.200000E+01  -.975959E+00  0.790171E+03
     3  22 -.990307E-01  0.116768E+01  -.620693E+00  0.519098E+03
     3  23 -.800786E+00  0.170182E+01  0.863051E+00  0.680287E+03
     3  24 0.656224E+00  0.952999E+00  -.139987E+00  0.235375E+02
     3  25 0.203504E+01  -.656984E+00  0.100000E+01  0.292290E+06
     3  26 0.100000E+01  0.191672E+00  -.642769E+00  0.107895E+04
     3  27 -.343586E+00  0.200000E+01  -.803631E+00  0.596004E+03
     3  28 0.259421E+01  0.000000E+00  0.385593E+00  0.432411E+07
     3  29 0.108432E+01  0.886053E+00  -.230648E+00  0.149872E+04
     3  30 -.452384E+00  0.200000E+01  0.220588E-02  0.617684E+03
     3  31 -.584225E+00  -.176898E+01  0.647024E-01  0.627006E+03
