 0.375640E+00 0.525635E+00 0.161316E+02
 0.372898E+00 0.523652E+00 0.144327E+02
 0.374568E+00 0.526777E+00 0.174598E+02
 0.374838E+00 0.514911E+00 0.147819E+02
 0.372022E+00 0.522807E+00 0.138715E+02
 0.375081E+00 0.512176E+00 0.182339E+02
 0.371976E+00 0.523042E+00 0.138655E+02
 0.373099E+00 0.526972E+00 0.154643E+02
 0.372755E+00 0.522706E+00 0.142929E+02
 0.371976E+00 0.523035E+00 0.138648E+02
 0.372978E+00 0.524291E+00 0.146577E+02
 0.372266E+00 0.521605E+00 0.140600E+02
 0.381831E+00 0.548896E+00 0.167556E+02
 0.372962E+00 0.527545E+00 0.157387E+02
 0.372428E+00 0.521226E+00 0.141481E+02
 0.372001E+00 0.524411E+00 0.140767E+02
 0.372990E+00 0.525597E+00 0.148941E+02
 0.374621E+00 0.520093E+00 0.150613E+02
 0.372041E+00 0.524267E+00 0.140745E+02
 0.379798E+00 0.503355E+00 0.163122E+02
 0.372007E+00 0.522895E+00 0.138581E+02
 0.372113E+00 0.522189E+00 0.139613E+02
 0.373438E+00 0.518350E+00 0.149508E+02
 0.379893E+00 0.499434E+00 0.168452E+02
 0.373616E+00 0.526849E+00 0.160640E+02
 0.374581E+00 0.526115E+00 0.157861E+02
 0.374723E+00 0.510233E+00 0.150500E+02
 0.374300E+00 0.524806E+00 0.160188E+02
 0.372203E+00 0.523413E+00 0.139531E+02
 0.371993E+00 0.522907E+00 0.138568E+02
 0.379930E+00 0.523616E+00 0.153549E+02
 0.372074E+00 0.524976E+00 0.142580E+02
 0.374834E+00 0.520033E+00 0.149873E+02
 0.379449E+00 0.525495E+00 0.148678E+02
 0.374348E+00 0.526444E+00 0.153249E+02
 0.373616E+00 0.520784E+00 0.145939E+02
 0.372120E+00 0.524999E+00 0.142825E+02
 0.372155E+00 0.525336E+00 0.143805E+02
 0.371971E+00 0.523869E+00 0.140104E+02
 0.372033E+00 0.522839E+00 0.138687E+02
 0.372317E+00 0.525584E+00 0.144618E+02
 0.371995E+00 0.522918E+00 0.138582E+02
 0.372717E+00 0.526739E+00 0.151454E+02
 0.372913E+00 0.523706E+00 0.144441E+02
 0.372059E+00 0.468986E+00 0.181127E+02
 0.372093E+00 0.523270E+00 0.139523E+02
 0.372512E+00 0.522570E+00 0.141688E+02
 0.372093E+00 0.523215E+00 0.139090E+02
 0.373300E+00 0.523111E+00 0.146943E+02
 0.373047E+00 0.523828E+00 0.146568E+02
 0.372319E+00 0.524557E+00 0.142343E+02
 0.372148E+00 0.522798E+00 0.139698E+02
 0.371992E+00 0.522946E+00 0.138805E+02
 0.372594E+00 0.526821E+00 0.151453E+02
 0.373352E+00 0.522517E+00 0.146922E+02
 0.374580E+00 0.500312E+00 0.179564E+02
 0.371941E+00 0.523402E+00 0.139169E+02
 0.371995E+00 0.522944E+00 0.138599E+02
 0.373545E+00 0.521977E+00 0.146277E+02
 0.375644E+00 0.512806E+00 0.158475E+02
 0.372879E+00 0.519854E+00 0.144926E+02
 0.372465E+00 0.522271E+00 0.140957E+02
 0.364333E+00 0.481945E+00 0.173534E+02
 0.372049E+00 0.523183E+00 0.139425E+02
 0.371978E+00 0.522946E+00 0.138565E+02
 0.375825E+00 0.509700E+00 0.177218E+02
 0.372386E+00 0.522301E+00 0.140500E+02
 0.374174E+00 0.525493E+00 0.161838E+02
 0.372733E+00 0.520579E+00 0.143391E+02
 0.378824E+00 0.508207E+00 0.178095E+02
 0.372328E+00 0.525554E+00 0.144583E+02
 0.377725E+00 0.503635E+00 0.163711E+02
 0.375142E+00 0.528377E+00 0.162759E+02
 0.379975E+00 0.525755E+00 0.156013E+02
 0.372610E+00 0.525417E+00 0.144821E+02
 0.371984E+00 0.522953E+00 0.138576E+02
 0.372072E+00 0.523161E+00 0.139438E+02
 0.379933E+00 0.525513E+00 0.147698E+02
 0.372055E+00 0.523184E+00 0.139445E+02
 0.372351E+00 0.524499E+00 0.142141E+02
 0.372941E+00 0.524230E+00 0.145329E+02
 0.372770E+00 0.522074E+00 0.142639E+02
 0.376625E+00 0.505616E+00 0.161078E+02
 0.372768E+00 0.524465E+00 0.144031E+02
 0.372058E+00 0.523605E+00 0.139940E+02
 0.372386E+00 0.521408E+00 0.141280E+02
 0.372049E+00 0.523043E+00 0.139236E+02
 0.371991E+00 0.522936E+00 0.138585E+02
 0.373132E+00 0.522213E+00 0.145330E+02
 0.372037E+00 0.523776E+00 0.139951E+02
 0.372058E+00 0.523573E+00 0.139836E+02
 0.373434E+00 0.524480E+00 0.149343E+02
 0.375223E+00 0.524268E+00 0.160947E+02
 0.372016E+00 0.522949E+00 0.138860E+02
 0.372837E+00 0.522923E+00 0.142872E+02
 0.372656E+00 0.522009E+00 0.142228E+02
 0.372302E+00 0.522115E+00 0.140012E+02
 0.373683E+00 0.522724E+00 0.146808E+02
 0.372032E+00 0.523058E+00 0.138894E+02
 0.374677E+00 0.522777E+00 0.156427E+02
 0.372834E+00 0.524096E+00 0.144066E+02
 0.373989E+00 0.520737E+00 0.146466E+02
 0.368092E+00 0.539273E+00 0.161919E+02
 0.372274E+00 0.524298E+00 0.141506E+02
 0.375498E+00 0.506710E+00 0.168949E+02
 0.372002E+00 0.522927E+00 0.138608E+02
 0.380348E+00 0.498231E+00 0.159723E+02
 0.372255E+00 0.522544E+00 0.140108E+02
 0.373296E+00 0.524008E+00 0.148729E+02
 0.379237E+00 0.525828E+00 0.149472E+02
 0.371992E+00 0.523086E+00 0.138861E+02
 0.374326E+00 0.523556E+00 0.156138E+02
 0.373376E+00 0.523897E+00 0.149237E+02
 0.372453E+00 0.523106E+00 0.141391E+02
 0.379009E+00 0.516336E+00 0.165291E+02
 0.372783E+00 0.523757E+00 0.143594E+02
 0.371982E+00 0.522913E+00 0.138541E+02
 0.372603E+00 0.522117E+00 0.141676E+02
 0.372934E+00 0.522669E+00 0.143466E+02
 0.373114E+00 0.527628E+00 0.158619E+02
 0.372148E+00 0.524706E+00 0.142113E+02
 0.372256E+00 0.522615E+00 0.139914E+02
 0.372871E+00 0.523101E+00 0.143670E+02
 0.372679E+00 0.525289E+00 0.145160E+02
 0.374075E+00 0.522319E+00 0.151195E+02
 0.371980E+00 0.523557E+00 0.139245E+02
 0.373432E+00 0.522163E+00 0.144050E+02
 0.372014E+00 0.523066E+00 0.139188E+02
 0.372699E+00 0.524070E+00 0.143296E+02
 0.375843E+00 0.508750E+00 0.172845E+02
 0.371994E+00 0.522954E+00 0.138598E+02
 0.372389E+00 0.523077E+00 0.140969E+02
 0.371997E+00 0.523037E+00 0.138986E+02
 0.372004E+00 0.523697E+00 0.139871E+02
 0.400241E+00 0.518915E+00 0.174925E+02
 0.372807E+00 0.522384E+00 0.142917E+02
 0.372451E+00 0.524518E+00 0.142000E+02
 0.371986E+00 0.523039E+00 0.138824E+02
 0.372336E+00 0.524563E+00 0.142252E+02
 0.372344E+00 0.522966E+00 0.140450E+02
 0.371983E+00 0.522939E+00 0.138567E+02
 0.380689E+00 0.502892E+00 0.170765E+02
 0.373153E+00 0.524016E+00 0.146741E+02
 0.372877E+00 0.524034E+00 0.144338E+02
 0.375465E+00 0.523744E+00 0.162164E+02
 0.372144E+00 0.523087E+00 0.139258E+02
 0.372233E+00 0.525514E+00 0.143931E+02
 0.372024E+00 0.522713E+00 0.138857E+02
 0.371982E+00 0.522982E+00 0.138593E+02
 0.371958E+00 0.523234E+00 0.138862E+02
 0.372554E+00 0.523447E+00 0.141965E+02
 0.373214E+00 0.522915E+00 0.143719E+02
 0.373160E+00 0.522385E+00 0.145645E+02
 0.372258E+00 0.523658E+00 0.140415E+02
 0.372140E+00 0.522903E+00 0.139512E+02
 0.371958E+00 0.523287E+00 0.138967E+02
 0.372547E+00 0.522852E+00 0.141810E+02
 0.371969E+00 0.523159E+00 0.139150E+02
 0.372132E+00 0.523000E+00 0.139293E+02
 0.372019E+00 0.522812E+00 0.138628E+02
 0.380408E+00 0.527942E+00 0.155350E+02
 0.372306E+00 0.522865E+00 0.140075E+02
 0.372695E+00 0.526002E+00 0.148075E+02
 0.371967E+00 0.523158E+00 0.139044E+02
 0.372346E+00 0.522963E+00 0.140493E+02
 0.374207E+00 0.526618E+00 0.154665E+02
 0.372011E+00 0.522823E+00 0.138554E+02
 0.372687E+00 0.523885E+00 0.142874E+02
 0.372672E+00 0.523534E+00 0.143628E+02
 0.371974E+00 0.523549E+00 0.139217E+02
 0.372607E+00 0.521341E+00 0.142193E+02
 0.381877E+00 0.507012E+00 0.175309E+02
 0.373397E+00 0.523629E+00 0.149034E+02
 0.375230E+00 0.518617E+00 0.150040E+02
 0.373288E+00 0.523313E+00 0.145145E+02
 0.373531E+00 0.524053E+00 0.148047E+02
 0.371982E+00 0.522928E+00 0.138540E+02
 0.372347E+00 0.522902E+00 0.140543E+02
 0.372651E+00 0.524242E+00 0.143142E+02
 0.373156E+00 0.513102E+00 0.181582E+02
 0.371987E+00 0.522951E+00 0.138594E+02
 0.372746E+00 0.523795E+00 0.143107E+02
 0.374733E+00 0.528363E+00 0.163019E+02
 0.348999E+00 0.519574E+00 0.129647E+02
 0.380112E+00 0.519260E+00 0.151373E+02
 0.376483E+00 0.513546E+00 0.155822E+02
 0.379646E+00 0.514169E+00 0.161724E+02
 0.375693E+00 0.506160E+00 0.167811E+02
 0.373393E+00 0.521682E+00 0.146431E+02
